nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00129987,Not Applicable,30/11/2003,Actual,0,182,92,0,,,28,,24,808
NCT00135226,Phase 4,31/03/2005,Actual,,,280,,,368,,,442,29870
NCT00508196,Not Applicable,30/11/2006,Actual,0,0,0,0,,,0,,0,22
NCT00509925,Phase 4,31/07/2007,Actual,0,0,0,0,,,0,,0,23
NCT00534703,Phase 2,31/07/2014,Actual,,,2,,,,,,,8
NCT00633022,Phase 2,02/06/2008,Actual,0,6,8,0,,,0,,0,184
NCT00647348,Phase 2,31/01/2008,Actual,0,4,6,0,,,0,,6,264
NCT00702221,Phase 2,30/06/2008,Actual,0,0,2,0,,,0,,2,22
NCT00750438,Not Applicable,30/09/2008,Actual,0,18,12,0,,,0,,0,68
NCT00844597,Phase 1/Phase 2,31/01/2009,Actual,0,2,0,0,0,,0,,0,74
NCT00871143,Not Applicable,30/04/2009,Actual,0,2,10,0,,,6,,0,74
NCT00884949,Phase 1/Phase 2,30/04/2009,Actual,,,,,0,,,,0,20
NCT00977431,Phase 1,17/09/2009,Actual,0,2,0,0,,,0,,0,70
NCT00982878,Phase 1,30/09/2009,Actual,0,0,7,0,,,1,,0,4
NCT01006538,Phase 4,30/11/2009,Actual,0,0,0,0,,,0,,0,726
NCT01015703,Phase 1,30/11/2009,Actual,0,2,8,0,,,0,,0,90
NCT01114438,Not Applicable,31/10/2010,Actual,0,0,0,0,0,,0,,90,0
NCT01114503,Phase 2,07/07/2010,Actual,0,0,0,0,,,0,,0,2
NCT01120028,Phase 2/Phase 3,30/09/2010,Actual,,162,108,,,,,44,,2178
NCT01178099,Phase 1,31/07/2010,Actual,0,2,32,0,4,,0,,0,66
NCT01185548,Phase 1,31/07/2010,Actual,0,0,0,0,,,0,,0,4
NCT01215968,Phase 1,30/09/2010,Actual,0,8,0,0,0,,0,,0,144
NCT01242111,Phase 1/Phase 2,30/11/2010,Actual,,,,,0,,,,0,20
NCT01250834,Phase 1,31/12/2010,Actual,0,1,1,0,0,,0,,0,52
NCT01252953,Phase 3,30/06/2011,Actual,,17742,656,,470,,66,192,50268,52402
NCT01257087,Not Applicable,31/12/2010,Actual,,,,,0,,,,0,70
NCT01319994,Phase 2/Phase 3,31/07/2012,Actual,,,,,0,,,,0,106
NCT01335620,Phase 4,30/04/2011,Actual,0,0,3,0,,,0,,0,16
NCT01348763,Phase 1,31/10/2011,Actual,0,0,3,0,,,0,,0,8
NCT01353118,Not Applicable,31/05/2011,Actual,,,,,0,,,,0,82
NCT01367236,Phase 4,31/01/2013,Actual,0,0,22,0,,,8,,0,90
NCT01380990,Phase 1/Phase 2,15/11/2012,Actual,,4,,,,,,12,36,20
NCT01432730,Phase 2,22/09/2011,Actual,0,0,0,0,0,,0,,0,48
NCT01452191,Not Applicable,31/08/2011,Actual,,,,,,,,108,,2016
NCT01499498,Phase 1,31/12/2012,Actual,0,4,3,0,,,0,,0,6
NCT01515319,Phase 1,30/04/2012,Actual,0,0,14,6,8,,14,,0,230
NCT01545583,Phase 1,30/04/2012,Actual,0,26,14,0,4,,0,,12,168
NCT01559818,Phase 1/Phase 2,29/02/2012,Actual,0,0,0,0,,,0,,0,10
NCT01562886,Phase 1,31/03/2012,Actual,0,0,3,0,,,0,,0,10
NCT01637142,Phase 1,31/07/2012,Actual,0,0,0,0,0,,0,,0,36
NCT01680640,Not Applicable,31/12/2013,Actual,,,,,0,,,,0,178
NCT01743560,Phase 4,31/01/2013,Actual,,,,,,,,1,,48
NCT01791985,Phase 1/Phase 2,31/07/2012,Actual,,,2,,,,,,1,49
NCT01795534,Not Applicable,28/02/2013,Actual,,,,,0,,,,0,10
NCT01859078,Phase 1,31/05/2013,Actual,0,1,0,0,0,,3,,0,52
NCT01896726,Phase 1,31/07/2013,Actual,0,0,3,0,0,,0,,0,37
NCT01908530,Not Applicable,30/11/2013,Actual,,8,,,,,2,0,,42
NCT01910311,Phase 1,31/08/2013,Actual,0,1,1,0,0,,0,,0,34
NCT01924299,Phase 1,31/08/2013,Actual,0,2,2,0,0,,4,,0,136
NCT01925144,Phase 1,31/10/2013,Actual,0,0,0,0,0,,1,,0,59
NCT01937026,Phase 1,30/09/2013,Actual,0,0,0,0,0,,0,,0,36
NCT01948258,Not Applicable,01/03/2013,Actual,0,14,5,0,,0,0,,,214
NCT01958294,Not Applicable,31/08/2011,Actual,0,0,0,0,0,,0,,0,24
NCT01958489,Phase 1,31/10/2013,Actual,0,10,1,0,0,,0,,0,37
NCT01958645,Phase 1,30/11/2013,Actual,0,2,6,0,0,,0,,0,40
NCT01960140,Phase 1,31/10/2013,Actual,0,0,1,0,0,,0,,0,79
NCT01964521,Not Applicable,28/02/2014,Actual,0,1,0,0,,,0,,0,23
NCT01968057,Phase 1,31/10/2013,Actual,0,0,0,0,0,,0,,0,36
NCT01993329,Phase 2,16/12/2013,Actual,0,0,0,0,0,,0,,0,80
NCT02031627,Not Applicable,11/11/2013,Actual,0,0,2,0,,,0,,0,40
NCT02035553,Phase 2,30/11/2013,Actual,,6,8,,0,,,2,0,708
NCT02044419,Phase 1,30/10/2013,Actual,0,6,18,0,2,,0,,4,98
NCT02047318,Phase 2,20/12/2013,Actual,0,1,1,0,,,1,,0,16
NCT02075606,Phase 4,31/05/2014,Actual,0,2,3,0,,,0,,0,45
NCT02091778,Not Applicable,31/08/2014,Actual,0,0,0,0,,,0,,0,21
NCT02096679,Phase 1,31/05/2014,Actual,0,0,3,0,0,,0,,0,13
NCT02109640,Phase 3,31/10/2014,Actual,0,0,0,0,,,0,,0,100
NCT02139826,Phase 1,31/05/2014,Actual,0,1,0,0,0,,1,,0,22
NCT02142153,Phase 1,31/08/2014,Actual,,,,,0,,,,0,80
NCT02151604,Phase 2,23/04/2014,Actual,0,0,0,0,,,0,,0,22
NCT02172040,Phase 3,26/06/2014,Actual,0,10,6,0,,,0,,0,288
NCT02181075,Phase 1,31/07/2014,Actual,0,0,0,0,,,0,,0,20
NCT02223351,Phase 1,30/09/2014,Actual,0,8,18,0,6,,6,,0,154
NCT02232087,Phase 1,31/07/2014,Actual,0,1,1,0,,,0,,4,46
NCT02237508,Phase 1,30/09/2014,Actual,0,6,10,0,,,0,,4,160
NCT02249728,Phase 1,30/06/2014,Actual,0,0,0,0,,,0,,0,6
NCT02271425,Phase 1,31/10/2014,Actual,0,0,0,0,0,,0,,0,16
NCT02280421,Phase 1,31/10/2014,Actual,0,0,0,0,0,,0,,0,104
NCT02284555,Phase 4,31/08/2014,Actual,0,0,0,0,,,0,,0,12
NCT02300220,Phase 3,05/05/2014,Actual,0,2,6,0,,,0,,4,276
NCT02307266,Phase 4,30/11/2014,Actual,0,26,0,0,,,0,,4,164
NCT02316171,Phase 1,16/01/2015,Actual,,,,,0,,,,0,30
NCT02319668,Phase 4,01/02/2015,Actual,0,4,8,0,6,,0,,0,134
NCT02321748,Phase 1,31/12/2014,Actual,0,0,8,0,0,,2,,0,86
NCT02322749,Phase 1,28/02/2015,Actual,0,0,8,0,,,0,,0,40
NCT02327143,Phase 1,31/01/2015,Actual,0,0,1,0,0,,0,,0,21
NCT02340104,Phase 1,31/01/2015,Actual,0,0,0,0,,,0,,0,8
NCT02342314,Phase 1,31/01/2015,Actual,0,4,4,0,0,,0,,0,264
NCT02369172,Phase 1,28/02/2015,Actual,0,1,3,0,1,,2,,0,41
NCT02391337,Phase 4,20/12/2016,Actual,,16,6,,,,,,,300
NCT02403635,Phase 1,30/04/2015,Actual,0,2,4,0,1,,1,,0,28
NCT02403999,Not Applicable,01/03/2015,Actual,0,2,0,0,,,0,,0,60
NCT02423577,Phase 2,30/09/2015,Actual,0,6,6,2,14,,14,,0,274
NCT02428699,Not Applicable,20/05/2015,Actual,0,3,4,0,0,,3,,0,90
NCT02459262,Phase 1,31/05/2015,Actual,0,2,0,0,2,,0,,0,956
NCT02491463,Phase 1,23/07/2015,Actual,,14,,,,,,2,,128
NCT02491944,Phase 1,31/07/2015,Actual,0,3,0,0,,,0,,0,7
NCT02512302,Phase 1,31/10/2015,Actual,0,2,0,0,0,,0,,0,58
NCT02517099,Phase 2,05/06/2015,Actual,,,,,0,,,,12,108
NCT02554799,Phase 1,17/09/2015,Actual,0,2,4,0,2,,6,,0,58
NCT02557139,Phase 1,30/09/2015,Actual,0,0,6,0,,,0,,0,40
NCT02561156,Phase 1,26/08/2015,Actual,0,10,16,2,6,,10,,0,308
NCT02566759,Phase 1,23/09/2015,Actual,0,18,14,0,,,2,,0,186
NCT02578940,Phase 3,30/11/2015,Actual,,,,,0,,,,0,104
NCT02593539,Phase 2,22/07/2016,Actual,,,,,,,,,,5
NCT02606877,Phase 4,19/04/2016,Actual,0,6,0,0,4,,0,,0,138
NCT02612064,Not Applicable,01/11/2015,Actual,0,4,4,0,0,,4,,0,908
NCT02618512,Phase 1/Phase 2,15/10/2015,Actual,0,0,0,0,0,,0,,0,6
NCT02631941,Phase 1,31/01/2016,Actual,0,10,8,0,,,10,,0,154
NCT02634983,Phase 4,03/06/2016,Actual,0,0,0,0,,,0,,0,31
NCT02638974,Not Applicable,29/02/2016,Actual,,,,,,,,,4,88
NCT02647281,Phase 1,17/12/2015,Actual,,10,12,,,,,,,90
NCT02661178,Phase 1,31/12/2015,Actual,0,0,0,0,8,,0,,0,308
NCT02681523,Phase 2,28/10/2015,Actual,,0,0,,,2,0,,,6
NCT02688387,Phase 1,18/03/2016,Actual,,6,34,,,2,2,,,180
NCT02692040,Phase 1,31/01/2015,Actual,,,,,0,,,,0,180
NCT02705716,Not Applicable,01/03/2016,Actual,0,12,28,0,4,,6,,0,506
NCT02707757,Phase 4,31/07/2015,Actual,,118,42,,,,,10,,150
NCT02716987,Phase 1,21/03/2016,Actual,0,2,12,0,,,2,,0,24
NCT02723201,Phase 1,28/04/2016,Actual,0,0,0,0,0,,2,,0,98
NCT02731755,Not Applicable,31/01/2016,Actual,0,0,0,0,,,0,,0,16
NCT02751450,Not Applicable,01/02/2016,Actual,4,56,14,0,0,,2,,0,856
NCT02752958,Not Applicable,23/05/2016,Actual,0,0,0,0,,,0,,0,75
NCT02762084,Phase 2,06/06/2016,Actual,0,0,0,0,0,,0,,0,68
NCT02768194,Not Applicable,06/07/2016,Actual,0,2,0,0,0,,1,,0,45
NCT02780661,Not Applicable,20/06/2016,Actual,0,0,0,19,,,0,,0,0
NCT02780856,Not Applicable,14/01/2017,Actual,,2,1,,0,,,0,,107
NCT02797964,Phase 1/Phase 2,31/07/2016,Actual,,,,,0,,,,16,198
NCT02854059,Phase 2,30/09/2016,Actual,0,0,2,0,,,0,,0,2
NCT02885506,Phase 1,24/08/2016,Actual,0,12,20,0,,,12,,0,84
NCT02886923,Not Applicable,01/08/2016,Actual,0,2,5,0,,,0,,2,14
NCT02901080,Not Applicable,11/08/2016,Actual,0,0,0,0,,,0,,8,153
NCT02919995,Phase 2,08/02/2017,Actual,0,0,0,0,,,0,,0,20
NCT02924350,Not Applicable,07/11/2016,Actual,0,32,18,0,,,8,,0,350
NCT02959892,Phase 1,05/12/2016,Actual,0,0,6,0,,,0,,0,18
NCT02974114,Phase 4,31/10/2016,Actual,0,10,6,0,,,2,,0,24
NCT02979197,Phase 3,03/11/2016,Actual,0,4,2,0,,,4,,0,200
NCT03034057,Phase 4,23/08/2017,Actual,0,0,5,0,0,,0,,16,317
NCT03041909,Phase 2,31/08/2016,Actual,0,0,10,0,,,0,,0,0
NCT03062917,Not Applicable,02/10/2015,Actual,0,46,40,0,,,60,,0,158
NCT03069989,Phase 1,13/06/2017,Actual,,,,,,,,,,16
NCT03111940,Not Applicable,31/08/2016,Actual,0,0,0,0,,,0,,0,70
NCT03129178,Not Applicable,01/07/2017,Actual,0,0,2,0,,,0,,0,44
NCT03135899,Phase 1,18/05/2017,Actual,0,8,4,0,0,,6,,0,130
NCT03139578,Not Applicable,28/04/2017,Actual,0,14,3,0,3,,13,,0,67
NCT03177395,Phase 1,08/06/2017,Actual,0,2,0,0,,,0,,0,46
NCT03180801,Phase 2,18/08/2016,Actual,,8,10,,2,,14,4,,208
NCT03181451,Phase 1,14/03/2017,Actual,,,,,,,,,4,70
NCT03205566,Phase 4,19/09/2017,Actual,0,0,16,0,,,0,,8,52
NCT03208673,Not Applicable,03/07/2017,Actual,,,,,0,,,,0,0
NCT03222427,Phase 1,15/01/2018,Actual,0,0,0,0,0,,0,,0,16
NCT03226457,Phase 4,11/12/2017,Actual,0,0,0,0,,,0,,0,23
NCT03235726,Phase 1,13/07/2017,Actual,,,12,,,,6,,,86
NCT03245619,Phase 1,22/08/2017,Actual,,,2,,,,,,,34
NCT03247686,Phase 2,01/02/2017,Actual,0,4,0,0,2,,0,,0,106
NCT03250689,Phase 2,15/11/2017,Actual,,,,,,,,,,38
NCT03289455,Phase 1/Phase 2,26/06/2017,Actual,0,2,0,0,,,0,,0,28
NCT03291080,Phase 1/Phase 2,17/04/2018,Actual,,8,,,,,,2,,30
NCT03291379,Early Phase 1,17/05/2017,Actual,0,0,0,0,,,0,,1,7
NCT03293654,Phase 1,07/12/2017,Actual,0,14,18,0,,,6,,0,190
NCT03319953,Phase 2,21/12/2017,Actual,0,2,32,0,0,,2,,0,56
NCT03332212,Phase 3,01/03/2018,Actual,0,2,2,0,0,,0,,0,284
NCT03334695,Phase 2,16/10/2017,Actual,0,8,2,0,0,,2,,12,228
NCT03358407,Phase 1,11/01/2018,Actual,,6,2,,,,,,,54
NCT03369431,Not Applicable,01/02/2018,Actual,,14,8,,2,4,24,,,86
NCT03383523,Phase 1,26/10/2017,Actual,0,0,0,0,0,,0,,0,308
NCT03383614,Phase 1,14/11/2017,Actual,0,0,0,0,0,,0,,0,96
NCT03426995,Phase 1,13/03/2018,Actual,,,4,,,,2,,,90
NCT03427073,Phase 1,27/04/2015,Actual,0,0,0,0,,,0,,0,40
NCT03437265,Phase 1,03/09/2020,Actual,0,3,1,0,,,0,,2,13
NCT03468543,Early Phase 1,26/07/2017,Actual,0,0,2,0,,,0,,0,4
NCT03480243,Phase 1,27/03/2018,Actual,,2,1,,,,,,1,24
NCT03494816,Phase 2,15/12/2017,Actual,0,0,0,0,,,0,,1,23
NCT03507569,Phase 1,24/04/2018,Actual,0,0,0,0,0,,0,,0,0
NCT03525119,Phase 3,16/05/2018,Actual,2,50,32,4,22,,30,,22,3438
NCT03530995,Phase 1,09/04/2018,Actual,0,6,10,0,,,0,,4,126
NCT03552198,Not Applicable,23/07/2017,Actual,,,,,,,,16,,148
NCT03552575,Phase 3,01/07/2018,Actual,0,4,0,0,,,0,,0,182
NCT03559205,Not Applicable,10/07/2018,Actual,,10,4,,,,4,6,4,518
NCT03568500,Phase 4,21/05/2018,Actual,0,0,16,0,0,,0,,10,150
NCT03569033,Phase 2,04/07/2018,Actual,0,2,4,0,,,2,,0,84
NCT03577275,Phase 1,15/06/2018,Actual,0,3,4,0,,,1,,0,24
NCT03596177,Phase 2,26/09/2018,Actual,0,0,2,2,0,,0,,2,106
NCT03615040,Phase 2,11/10/2018,Actual,0,2,0,0,0,,0,,0,322
NCT03617588,Phase 2,18/06/2018,Actual,0,6,24,0,,,0,,0,68
NCT03622658,Phase 2,06/09/2018,Actual,0,2,0,0,2,,2,,8,154
NCT03629041,Phase 1,31/07/2018,Actual,0,0,2,0,,,0,,0,14
NCT03634085,Phase 1,17/05/2018,Actual,0,0,4,0,,,0,,0,28
NCT03635086,Phase 2,22/08/2018,Actual,0,0,0,0,,,0,,0,120
NCT03643692,Not Applicable,26/02/2019,Actual,0,0,1,0,,,0,,0,11
NCT03649412,Phase 1,26/09/2018,Actual,,,2,,,4,2,,,58
NCT03656107,Not Applicable,14/01/2019,Actual,,,,,0,,,,0,112
NCT03662750,Not Applicable,31/08/2017,Actual,,,,,0,,,,0,3
NCT03663101,Phase 2,30/10/2018,Actual,0,8,0,0,,,0,,0,24
NCT03691623,Phase 2,15/10/2018,Actual,0,12,8,0,,,0,,34,300
NCT03700671,Not Applicable,11/05/2016,Actual,0,0,0,0,,,0,,84,0
NCT03730961,Phase 2,17/01/2019,Actual,0,0,2,0,0,,0,,0,90
NCT03760913,Early Phase 1,21/11/2018,Actual,0,12,14,0,2,,6,,0,430
NCT03798483,Not Applicable,24/01/2019,Actual,,,,,,,,1,,14
NCT03807245,Phase 1,09/01/2019,Actual,0,0,2,0,0,,0,,0,238
NCT03809039,Phase 1,15/01/2019,Actual,0,0,0,0,0,,0,,0,208
NCT03809052,Phase 1,14/01/2019,Actual,0,6,10,0,0,,4,,0,292
NCT03871543,Not Applicable,01/04/2019,Actual,0,90,26,0,,,0,,14,238
NCT03874234,Phase 1,30/04/2019,Actual,,4,4,,,,2,,,38
NCT03901144,Phase 2,21/02/2019,Actual,,,,,0,,,,0,49
NCT03907540,Phase 1,05/04/2019,Actual,0,0,0,0,,,0,,1,4
NCT03921723,Phase 1,07/05/2019,Actual,,,2,,,1,,,,19
NCT03927209,Phase 1,06/06/2019,Actual,0,4,2,0,0,,4,,0,30
NCT03930264,Phase 1,11/04/2019,Actual,0,2,4,0,,,0,,0,54
NCT03944486,Not Applicable,13/08/2019,Actual,,,,,0,,,,1,23
NCT03955133,Not Applicable,18/12/2018,Actual,,,,,0,,,,19,0
NCT03961100,Phase 1,06/06/2019,Actual,,4,2,,,,,,,118
NCT03965533,Phase 1,10/06/2019,Actual,,16,,,,,,,,56
NCT03980938,Phase 2,08/07/2019,Actual,0,4,0,0,0,,0,,0,56
NCT03990649,Phase 2,23/07/2019,Actual,0,0,0,0,0,,0,,6,90
NCT03991494,Phase 1,29/05/2019,Actual,0,0,0,0,,,0,,0,4
NCT04025684,Not Applicable,30/09/2019,Actual,0,18,18,0,,,0,,0,124
NCT04053023,Phase 1,27/08/2019,Actual,,,2,,,,,,,36
NCT04066738,Not Applicable,27/09/2017,Actual,0,0,0,0,,,0,,0,2
NCT04073407,Not Applicable,27/07/2019,Actual,0,4,0,0,,,0,,0,14
NCT04086472,Phase 2,28/10/2019,Actual,0,10,2,0,2,,12,,0,294
NCT04091360,Phase 2,29/04/2019,Actual,0,0,0,0,0,,0,,0,160
NCT04095286,Phase 1,30/09/2019,Actual,,3,,,,1,,,,25
NCT04110366,Not Applicable,14/06/2018,Actual,,,,,0,,,,0,96
NCT04126343,Phase 1,23/10/2019,Actual,,6,6,,,,,10,,86
NCT04131517,Phase 1,23/10/2019,Actual,0,0,0,0,,,,2,,26
NCT04131959,Not Applicable,29/10/2019,Actual,0,0,0,0,,,0,,0,5
NCT04138043,Phase 1,05/12/2019,Actual,,18,,,,,,,,
NCT04150341,Phase 2,06/11/2019,Actual,0,2,3,0,0,,0,,0,43
NCT04175808,Phase 1,14/11/2019,Actual,0,4,6,0,0,,1,,0,109
NCT04223232,Phase 1,10/12/2019,Actual,0,0,1,0,0,,1,,0,10
NCT04229303,Phase 1,11/02/2020,Actual,0,4,4,0,,,2,,2,104
NCT04311424,Phase 1,28/07/2020,Actual,0,0,0,0,0,,0,,0,12
NCT04388176,Phase 2,03/01/2020,Actual,0,0,0,0,0,,0,,0,48
NCT04460183,Phase 2/Phase 3,29/07/2020,Actual,0,16,4,0,0,,0,,2,54
NCT04488770,Phase 1,24/08/2020,Actual,,6,10,,,,4,,,102
NCT04540627,Phase 1,06/07/2020,Actual,2,0,4,0,,,12,,0,94
NCT04604795,Phase 1,04/11/2020,Actual,,14,16,,,,2,,,98
NCT04680273,Phase 1,07/01/2021,Actual,0,0,0,0,0,,0,,0,64
NCT04796831,Phase 1,26/04/2021,Actual,0,0,0,0,,,0,,0,8
NCT05288829,Phase 1,19/08/2016,Actual,,,,,4,,,,0,80